console,console_common_name,game_title,category_1,category_2,multiplayer,core_name,console_dir,game_file,m3u,category_1_mgl,category_2_mgl,multiplayer_mgl,top_console_mgl,console_mgl,hash,download_url
SNES,SNES,Soul Blazer,Action Adventure,Adventure RPG,False,SNES,SNES,Soul Blazer (USA).sfc,,_Waian's Picks/_Top Games by Category/_Action Adventure/Soul Blazer (SNES).mgl,_Waian's Picks/_Top Games by Category/_Adventure RPG/Soul Blazer (SNES).mgl,,_Waian's Picks/_Top Games by Console/_SNES/Soul Blazer.mgl,_Waian's Picks/_All Games by Console/_SNES/Soul Blazer.mgl,f2832eb02547c39cae3bdaab5c2a53e4f8b31810,
SNES,SNES,Terranigma,Action Adventure,Adventure RPG,False,SNES,SNES,Terranigma (Europe).sfc,,_Waian's Picks/_Top Games by Category/_Action Adventure/Terranigma (SNES).mgl,_Waian's Picks/_Top Games by Category/_Adventure RPG/Terranigma (SNES).mgl,,_Waian's Picks/_Top Games by Console/_SNES/Terranigma.mgl,_Waian's Picks/_All Games by Console/_SNES/Terranigma.mgl,911239b4b21106ae4a284454d345c55554985525,
SNES,SNES,The Legend of Zelda: A Link to the Past,Action Adventure,Adventure RPG,False,SNES,SNES,"Legend of Zelda, The - A Link to the Past (USA).sfc",,_Waian's Picks/_Top Games by Category/_Action Adventure/The Legend of Zelda A Link to the Past (SNES).mgl,_Waian's Picks/_Top Games by Category/_Adventure RPG/The Legend of Zelda A Link to the Past (SNES).mgl,,_Waian's Picks/_Top Games by Console/_SNES/The Legend of Zelda A Link to the Past.mgl,_Waian's Picks/_All Games by Console/_SNES/The Legend of Zelda A Link to the Past.mgl,6d4f10a8b10e10dbe624cb23cf03b88bb8252973,
NES,NES,The Guardian Legend,Action Adventure,Arcade Shooters,False,NES,NES,Guardian Legend The (U) .nes,,_Waian's Picks/_Top Games by Category/_Action Adventure/The Guardian Legend (NES).mgl,_Waian's Picks/_Top Games by Category/_Arcade Shooters/The Guardian Legend (NES).mgl,,_Waian's Picks/_Top Games by Console/_NES/The Guardian Legend.mgl,_Waian's Picks/_All Games by Console/_NES/The Guardian Legend.mgl,d00d73c7764a4c3513892b97afb939f30e522245,
MegaDrive,Genesis,Streets of Rage 2,2D Platformer,Brawlers,True,MegaDrive,MegaDrive,Streets of Rage 2 (USA).md,,_Waian's Picks/_Top Games by Category/_2D Platformer/Streets of Rage 2 (Genesis).mgl,_Waian's Picks/_Top Games by Category/_Brawlers/Streets of Rage 2 (Genesis).mgl,_Waian's Picks/_Top Games by Category/_Multiplayer/Streets of Rage 2.mgl,_Waian's Picks/_Top Games by Console/_Genesis/Streets of Rage 2.mgl,_Waian's Picks/_All Games by Console/_Genesis/Streets of Rage 2.mgl,8b656eec9692d88bbbb84787142aa732b44ce0be,
SNES,SNES,"Legend of the Mystical Ninja, The",Action Adventure,Brawlers,True,SNES,SNES,"Legend of the Mystical Ninja, The (USA).sfc",,"_Waian's Picks/_Top Games by Category/_Action Adventure/Legend of the Mystical Ninja, The (SNES).mgl","_Waian's Picks/_Top Games by Category/_Brawlers/Legend of the Mystical Ninja, The (SNES).mgl","_Waian's Picks/_Top Games by Category/_Multiplayer/Legend of the Mystical Ninja, The.mgl","_Waian's Picks/_Top Games by Console/_SNES/Legend of the Mystical Ninja, The.mgl","_Waian's Picks/_All Games by Console/_SNES/Legend of the Mystical Ninja, The.mgl",e7db9b1220d66bc8665fe2761ac396dc28bfd88c,
SNES,SNES,Lufia II: Rise of the Sinistrals,Adventure RPG,JRPG,False,SNES,SNES,Lufia II - Rise of the Sinistrals (USA).sfc,,_Waian's Picks/_Top Games by Category/_Adventure RPG/Lufia II Rise of the Sinistrals (SNES).mgl,_Waian's Picks/_Top Games by Category/_JRPG/Lufia II Rise of the Sinistrals (SNES).mgl,,_Waian's Picks/_Top Games by Console/_SNES/Lufia II Rise of the Sinistrals.mgl,_Waian's Picks/_All Games by Console/_SNES/Lufia II Rise of the Sinistrals.mgl,a89931c1f29b161b8be717dfab4a4adb54b42b84,
SNES,SNES,Super Mario RPG: Legend of the Seven Stars,Adventure RPG,JRPG,False,SNES,SNES,Super Mario RPG - Legend of the Seven Stars (USA).sfc,,_Waian's Picks/_Top Games by Category/_Adventure RPG/Super Mario RPG Legend of the Seven Stars (SNES).mgl,_Waian's Picks/_Top Games by Category/_JRPG/Super Mario RPG Legend of the Seven Stars (SNES).mgl,,_Waian's Picks/_Top Games by Console/_SNES/Super Mario RPG Legend of the Seven Stars.mgl,_Waian's Picks/_All Games by Console/_SNES/Super Mario RPG Legend of the Seven Stars.mgl,a4f7539054c359fe3f360b0e6b72e394439fe9df,
GBA,Game Boy Advance,Mega Man Battle Network 3 - Blue Version,Adventure RPG,JRPG,False,GBA,GBA,Mega Man Battle Network 3 - Blue Version (USA).gba,,_Waian's Picks/_Top Games by Category/_Adventure RPG/Mega Man Battle Network 3 - Blue Version (Game Boy Advance).mgl,_Waian's Picks/_Top Games by Category/_JRPG/Mega Man Battle Network 3 - Blue Version (Game Boy Advance).mgl,,_Waian's Picks/_Top Games by Console/_Game Boy Advance/Mega Man Battle Network 3 - Blue Version.mgl,_Waian's Picks/_All Games by Console/_Game Boy Advance/Mega Man Battle Network 3 - Blue Version.mgl,3d21905b6e860d39a00ba643779776de4c73c411,
GBA,Game Boy Advance,Puyo Pop Fever,Puzzle,Pick-up-N-Play,True,GBA,GBA,"Puyo Pop Fever (Europe) (En,Fr,De,Es,It).gba",,_Waian's Picks/_Top Games by Category/_Puzzle/Puyo Pop Fever (Game Boy Advance).mgl,_Waian's Picks/_Top Games by Category/_Pick-up-N-Play/Puyo Pop Fever (Game Boy Advance).mgl,_Waian's Picks/_Top Games by Category/_Multiplayer/Puyo Pop Fever.mgl,_Waian's Picks/_Top Games by Console/_Game Boy Advance/Puyo Pop Fever.mgl,_Waian's Picks/_All Games by Console/_Game Boy Advance/Puyo Pop Fever.mgl,92c4a55e04ff3311854ec5d2952f35d38a2be59c,
N64,N64,Dr. Mario 64,Puzzle,Pick-up-N-Play,True,N64,N64,Dr. Mario 64 (USA).z64,,_Waian's Picks/_Top Games by Category/_Puzzle/Dr. Mario 64 (N64).mgl,_Waian's Picks/_Top Games by Category/_Pick-up-N-Play/Dr. Mario 64 (N64).mgl,_Waian's Picks/_Top Games by Category/_Multiplayer/Dr. Mario 64.mgl,_Waian's Picks/_Top Games by Console/_N64/Dr. Mario 64.mgl,_Waian's Picks/_All Games by Console/_N64/Dr. Mario 64.mgl,a130d3622ce40e0158db2da4247101f6e92206fc,
N64,N64,Tetrisphere,Puzzle,Pick-up-N-Play,False,N64,N64,Tetrisphere (USA).z64,,_Waian's Picks/_Top Games by Category/_Puzzle/Tetrisphere (N64).mgl,_Waian's Picks/_Top Games by Category/_Pick-up-N-Play/Tetrisphere (N64).mgl,,_Waian's Picks/_Top Games by Console/_N64/Tetrisphere.mgl,_Waian's Picks/_All Games by Console/_N64/Tetrisphere.mgl,32adaa274ceed246aeee9f53592d642a121f3bdb,
PSX,PlayStation,Thunder Force V - Perfect System,Arcade Shooters,Pick-up-N-Play,False,PSX,PSX,Thunder Force V - Perfect System (USA)/Thunder Force V - Perfect System (USA).chd,Thunder Force V - Perfect System (USA)/Thunder Force V - Perfect System (USA).m3u,_Waian's Picks/_Top Games by Category/_Arcade Shooters/Thunder Force V - Perfect System (PlayStation).mgl,_Waian's Picks/_Top Games by Category/_Pick-up-N-Play/Thunder Force V - Perfect System (PlayStation).mgl,,_Waian's Picks/_Top Games by Console/_PlayStation/Thunder Force V - Perfect System.mgl,_Waian's Picks/_All Games by Console/_PlayStation/Thunder Force V - Perfect System.mgl,c550026461e2f529f64976ff45ab1081cd181daf,
